,Topics,Sub Topic,Type,Difficulty,Project Type,Workers
0,Back End,Django,S1,22,Backend,Chairul Rizqi
1,Back End,Django,S1,22,Backend,Abdullah Nur Hudi
2,Back End,Django,S1,22,Backend,Sandrian Yulianto
3,Back End,Django,S1,22,Backend,Vania Kylie
4,Back End,Django,S1,22,Backend,Wahyu Fauzan
5,Data Engineering,Data Integration,S2,10,ML,Nyoman Satiya Najwa Sadha
6,Data Engineering,Data Integration,S2,10,ML,Suci Rahmadani
7,Data Engineering,Data Integration,S2,10,ML,Azis Sofyanto
8,Data Engineering,Data Integration,S2,10,ML,Andhika Zulfikri
9,Time-series,LSTM,S2,15,ML,Putu Gede Agung Karna Sampalan
10,Time-series,LSTM,S2,15,ML,Rikip Ginanjar
11,Time-series,LSTM,S2,15,ML,I Putu Ranantha Nugraha Suparta
12,Time-series,LSTM,S2,15,ML,Gabriel Kheisa
13,Time-series,LSTM,S2,15,ML,Farel Eden
14,Computer Vision,Object Detection,S1,12,ML,Rikip Ginanjar
15,Computer Vision,Object Detection,S1,12,ML,Farel Eden
16,Computer Vision,Object Detection,S1,12,ML,Bagja Kurniadi
17,Computer Vision,Object Detection,S1,12,ML,Sarah Sema Khairunisa
18,NLP,Sentiment Analysis,S2,13,ML,Alvin Tan
19,NLP,Sentiment Analysis,S2,13,ML,Nyoman Satiya Najwa Sadha
20,NLP,Sentiment Analysis,S2,13,ML,Putu Gede Agung Karna Sampalan
21,NLP,Sentiment Analysis,S2,13,ML,Andhika Zulfikri
22,Data Engineering,Data Integration,S3,25,ML,Bagja Kurniadi
23,Data Engineering,Data Integration,S3,25,ML,Farel Eden
24,Data Engineering,Data Integration,S3,25,ML,Rikip Ginanjar
25,Data Engineering,Data Integration,S3,25,ML,Azis Sofyanto
26,Data Engineering,Data Integration,S3,25,ML,Christopher Kristianto
27,Classification & Regression,Gradient Boosting,S3,12,ML,Bagja Kurniadi
28,Classification & Regression,Gradient Boosting,S3,12,ML,Azis Sofyanto
29,Classification & Regression,Gradient Boosting,S3,12,ML,Christopher Kristianto
30,Classification & Regression,Gradient Boosting,S3,12,ML,Rikip Ginanjar
31,Front End,Vue.js,S2,16,Frontend,Muhammad Raden Syawali Akbar
32,Front End,Vue.js,S2,16,Frontend,Iga Narendra Pramawijaya
33,Front End,Vue.js,S2,16,Frontend,Andi Rezal Oktavianto
34,Front End,Vue.js,S2,16,Frontend,Abiyyu Diora Haqi
35,Front End,Vue.js,S2,16,Frontend,Imam
36,Front End,React,S2,6,Frontend,Iga Narendra Pramawijaya
37,Front End,React,S2,6,Frontend,Muhammad Raden Syawali Akbar
38,NLP,Sentiment Analysis,S3,29,ML,Bagja Kurniadi
39,NLP,Sentiment Analysis,S3,29,ML,Christopher Kristianto
40,NLP,Sentiment Analysis,S3,29,ML,Alvin Tan
41,NLP,Sentiment Analysis,S3,29,ML,Suci Rahmadani
42,NLP,Sentiment Analysis,S3,29,ML,Nyoman Satiya Najwa Sadha
43,Classification & Regression,Random Forest,S3,9,ML,Christopher Kristianto
44,Classification & Regression,Random Forest,S3,9,ML,Putu Gede Agung Karna Sampalan
45,Computer Vision,Image Segmentation,S2,15,ML,Sarah Sema Khairunisa
46,Computer Vision,Image Segmentation,S2,15,ML,Andhika Zulfikri
47,Computer Vision,Image Segmentation,S2,15,ML,Christopher Kristianto
48,Computer Vision,Image Segmentation,S2,15,ML,Farel Eden
49,Computer Vision,Image Segmentation,S2,15,ML,Alvin Tan
50,Front End,Vue.js,S3,26,Frontend,Imam
51,Front End,Vue.js,S3,26,Frontend,Andi Rezal Oktavianto
52,Front End,Vue.js,S3,26,Frontend,Iga Narendra Pramawijaya
53,Front End,Vue.js,S3,26,Frontend,Abiyyu Diora Haqi
54,Front End,Vue.js,S3,26,Frontend,Muhammad Raden Syawali Akbar
55,Classification & Regression,Gradient Boosting,S1,13,ML,Rikip Ginanjar
56,Classification & Regression,Gradient Boosting,S1,13,ML,I Putu Ranantha Nugraha Suparta
57,Classification & Regression,Gradient Boosting,S1,13,ML,Gabriel Kheisa
58,Classification & Regression,Gradient Boosting,S1,13,ML,Andhika Zulfikri
59,Data Engineering,Data Warehousing,S1,18,ML,Nyoman Satiya Najwa Sadha
60,Data Engineering,Data Warehousing,S1,18,ML,Rikip Ginanjar
61,Data Engineering,Data Warehousing,S1,18,ML,Christopher Kristianto
62,Data Engineering,Data Warehousing,S1,18,ML,Putu Gede Agung Karna Sampalan
63,Data Engineering,Data Warehousing,S1,18,ML,Suci Rahmadani
64,Classification & Regression,Gradient Boosting,S3,15,ML,Putu Gede Agung Karna Sampalan
65,Classification & Regression,Gradient Boosting,S3,15,ML,Rikip Ginanjar
66,Classification & Regression,Gradient Boosting,S3,15,ML,Sarah Sema Khairunisa
67,Classification & Regression,Gradient Boosting,S3,15,ML,Azis Sofyanto
68,Classification & Regression,Gradient Boosting,S3,15,ML,Andhika Zulfikri
69,Time-series,ARIMA,S1,7,ML,I Putu Ranantha Nugraha Suparta
70,Time-series,ARIMA,S1,7,ML,Christopher Kristianto
71,Computer Vision,Face Recognition,S2,29,ML,Putu Gede Agung Karna Sampalan
72,Computer Vision,Face Recognition,S2,29,ML,Christopher Kristianto
73,Computer Vision,Face Recognition,S2,29,ML,Sarah Sema Khairunisa
74,Computer Vision,Face Recognition,S2,29,ML,Andhika Zulfikri
75,Computer Vision,Face Recognition,S2,29,ML,Suci Rahmadani
